epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.50033,2.23464,4.67317,2.34991,0.01633,0.25,0.02042,0.0048,2.36741,5.08528,2.86417,3.75e-05,3.75e-05,3.75e-05
2,7.6726,2.24038,4.60589,2.3893,0.03597,0.27941,0.06761,0.0153,2.08229,3.80681,2.4646,8.60563e-05,8.60563e-05,8.60563e-05
3,9.8801,1.91646,3.0986,2.08585,0.30196,0.75227,0.41091,0.18136,1.86168,3.2421,2.04988,0.000132962,0.000132962,0.000132962
4,11.9101,1.67534,2.71696,1.81295,0.4637,0.84886,0.59483,0.30873,1.63623,2.49901,1.8798,0.000178219,0.000178219,0.000178219
5,13.6753,1.51972,2.03192,1.64818,0.91911,0.36029,0.56943,0.23642,1.7076,2.74349,1.82523,0.000221825,0.000221825,0.000221825
6,15.4052,1.60981,1.91529,1.6618,0.72409,0.33088,0.39016,0.22044,2.04066,2.73974,2.23556,0.000263781,0.000263781,0.000263781
7,17.2889,1.46265,1.7336,1.57706,0.35877,0.84148,0.4933,0.28275,1.94168,2.54294,2.16,0.000304088,0.000304088,0.000304088
8,19.9479,1.49791,1.7124,1.56805,0.74865,0.61029,0.74229,0.50036,1.74825,1.80007,1.93503,0.000342744,0.000342744,0.000342744
9,21.8133,1.39192,1.51687,1.49669,0.69981,0.61029,0.56873,0.34288,1.69753,1.67562,1.8675,0.00037975,0.00037975,0.00037975
10,23.4912,1.41657,1.46609,1.50932,0.79244,0.36029,0.38228,0.16134,1.8174,2.18712,2.0949,0.000415106,0.000415106,0.000415106
11,25.3225,1.38639,1.30389,1.49268,0.78607,0.27395,0.58765,0.28173,2.05912,1.88119,2.27743,0.000448813,0.000448813,0.000448813
12,27.1526,1.45475,1.41273,1.47073,0.5351,0.58088,0.4535,0.2285,2.14218,2.35183,2.27403,0.000480869,0.000480869,0.000480869
13,28.8915,1.40225,1.1878,1.3963,0.55964,0.61029,0.42105,0.21354,1.76374,1.92151,1.99537,0.000511275,0.000511275,0.000511275
14,30.9445,1.43888,1.41232,1.62206,0.65023,0.54975,0.40034,0.18354,2.1239,2.15667,2.27592,0.000540031,0.000540031,0.000540031
15,33.3682,1.46298,1.24172,1.49766,0.65262,0.625,0.55147,0.32434,1.73745,1.37936,1.92665,0.000567137,0.000567137,0.000567137
16,35.0203,1.44004,1.10258,1.47582,0.59874,0.625,0.61911,0.31257,1.91094,1.61289,2.16404,0.000592594,0.000592594,0.000592594
17,36.7321,1.44087,1.10899,1.5313,0.54292,0.56743,0.55179,0.31983,1.97455,1.79231,2.24734,0.0006164,0.0006164,0.0006164
18,38.4574,1.23916,1.10846,1.36822,0.35463,0.69885,0.65019,0.3828,1.75523,1.58585,1.91586,0.000638556,0.000638556,0.000638556
19,40.0994,1.24799,1.00861,1.38671,0.53559,0.57819,0.60113,0.3692,1.78936,1.67214,1.9426,0.000659063,0.000659063,0.000659063
20,41.7743,1.1587,0.93722,1.31213,0.47179,0.44903,0.40577,0.23748,1.82775,1.84253,2.01007,0.000677919,0.000677919,0.000677919
21,44.0346,1.14531,0.89415,1.31945,0.55252,0.31618,0.27341,0.11962,1.99716,1.78962,2.06294,0.000695125,0.000695125,0.000695125
22,46.2263,1.1577,0.95549,1.35166,0.50941,0.34559,0.27668,0.12184,1.98436,1.70893,2.15559,0.000710681,0.000710681,0.000710681
23,47.9398,1.27809,1.01559,1.37859,0.70788,0.23529,0.25375,0.09798,2.06383,1.88553,2.31436,0.000724588,0.000724588,0.000724588
